Code-mehvar,Name-Mehvar,Ostan,origin,destination,orgin_en,destination_en,filename
313122,فريمان - مشهد (فريمان - سنگ بست),31 KhorasanRazavi,فریمان,مشهد,FRIMAN,MShHD,Daily 313122 فريمان - مشهد (فريمان - سنگ بست)
313172,مشهد - فريمان (سنگ بست - فريمان),31 KhorasanRazavi,مشهد,فریمان,MShHD,FRIMAN,Daily 313172 مشهد - فريمان (سنگ بست - فريمان)
314101,خواف - تايباد,31 KhorasanRazavi,خواف,تایباد,KhVAF,TAIBAD,Daily 314101 خواف - تايباد
314102,خواف - قائن (نشتيفان),31 KhorasanRazavi,خواف,قائن,KhVAF,GhAIN,Daily 314102 خواف - قائن (نشتيفان)
314151,تايباد - خواف,31 KhorasanRazavi,تایباد,خواف,TAIBAD,KhVAF,Daily 314151 تايباد - خواف
314152,قائن - خواف (نشتيفان),31 KhorasanRazavi,قائن,خواف,GhAIN,KhVAF,Daily 314152 قائن - خواف (نشتيفان)
453603,جيرفت - دهبکري,45 Kerman,جیرفت,دهبکری,JIRFT,DHBKRI,Daily 453603 جيرفت - دهبکري
453604,جيرفت - کهنوج,45 Kerman,جیرفت,کهنوج,JIRFT,KHNVJ,Daily 453604 جيرفت - کهنوج
453605,جيرفت - بافت (پليس‌راه),45 Kerman,جیرفت,بافت,JIRFT,BAFT,Daily 453605 جيرفت - بافت (پليس‌راه)
453610,جيرفت - فارياب (کريم آباد),45 Kerman,جیرفت,فاریاب,JIRFT,FARIAB,Daily 453610 جيرفت - فارياب (کريم آباد)
453611,جيرفت - فرودگاه,45 Kerman,جیرفت,فرودگاه,JIRFT,FRVDGAH,Daily 453611 جيرفت - فرودگاه
453612,درب بهشت - بافت,45 Kerman,درببهشت,بافت,DRBBHShT,BAFT,Daily 453612 درب بهشت - بافت
453619,عنبرآباد - مردهک,45 Kerman,عنبرآباد,مردهک,ANBRABAD,MRDHK,Daily 453619 عنبرآباد - مردهک
453620,جيرفت - کرمان(جيرفت),45 Kerman,جیرفت,کرمان,JIRFT,KRMAN,Daily 453620 جيرفت - کرمان(جيرفت)
453652,کرمان - جيرفت (پليس‌راه),45 Kerman,کرمان,جیرفت,KRMAN,JIRFT,Daily 453652 کرمان - جيرفت (پليس‌راه)
453653,دهبکري - جيرفت,45 Kerman,دهبکری,جیرفت,DHBKRI,JIRFT,Daily 453653 دهبکري - جيرفت
453654,کهنوج - جيرفت,45 Kerman,کهنوج,جیرفت,KHNVJ,JIRFT,Daily 453654 کهنوج - جيرفت
453655,بافت - جيرفت (پليس‌راه),45 Kerman,بافت,جیرفت,BAFT,JIRFT,Daily 453655 بافت - جيرفت (پليس‌راه)
453660,فارياب - جيرفت (کريم آباد),45 Kerman,فاریاب,جیرفت,FARIAB,JIRFT,Daily 453660 فارياب - جيرفت (کريم آباد)
453661,فرودگاه - جيرفت,45 Kerman,فرودگاه,جیرفت,FRVDGAH,JIRFT,Daily 453661 فرودگاه - جيرفت
453662,بافت - درب بهشت,45 Kerman,بافت,درببهشت,BAFT,DRBBHShT,Daily 453662 بافت - درب بهشت
453669,مردهک - عنبرآباد,45 Kerman,مردهک,عنبرآباد,MRDHK,ANBRABAD,Daily 453669 مردهک - عنبرآباد
454203,کهنوج - رودان,45 Kerman,کهنوج,رودان,KHNVJ,RVDAN,Daily 454203 کهنوج - رودان
454213,کهنوج - فارياب,45 Kerman,کهنوج,فاریاب,KHNVJ,FARIAB,Daily 454213 کهنوج - فارياب
454215,زهکلوت - ايرانشهر,45 Kerman,زهکلوت,ایرانشهر,ZHKLVT,AIRANShHR,Daily 454215 زهکلوت - ايرانشهر
454216,فارياب - زيارتعلي,45 Kerman,فاریاب,زیارتعلی,FARIAB,ZIARTALI,Daily 454216 فارياب - زيارتعلي
454217,بلوک - فارياب,45 Kerman,بلوک,فاریاب,BLVK,FARIAB,Daily 454217 بلوک - فارياب
454218,کهنوج - جيرفت,45 Kerman,کهنوج,جیرفت,KHNVJ,JIRFT,Daily 454218 کهنوج - جيرفت
454221,جيرفت - بافت,45 Kerman,جیرفت,بافت,JIRFT,BAFT,Daily 454221 جيرفت - بافت
454263,فارياب - کهنوج,45 Kerman,فاریاب,کهنوج,FARIAB,KHNVJ,Daily 454263 فارياب - کهنوج
454265,ايرانشهر - زهکلوت,45 Kerman,ایرانشهر,زهکلوت,AIRANShHR,ZHKLVT,Daily 454265 ايرانشهر - زهکلوت
454266,زيارتعلي - فارياب,45 Kerman,زیارتعلی,فاریاب,ZIARTALI,FARIAB,Daily 454266 زيارتعلي - فارياب
454267,فارياب - بلوک,45 Kerman,فاریاب,بلوک,FARIAB,BLVK,Daily 454267 فارياب - بلوک
454268,جيرفت - کهنوج,45 Kerman,جیرفت,کهنوج,JIRFT,KHNVJ,Daily 454268 جيرفت - کهنوج
454271,بافت - جيرفت,45 Kerman,بافت,جیرفت,BAFT,JIRFT,Daily 454271 بافت - جيرفت
543701,املش - کلان کلايه,54 Gilan,املش,کلانکلایه,AMLSh,KLANKLAIH,Daily 543701 املش - کلان کلايه
543751,کلان کلايه - املش,54 Gilan,کلانکلایه,املش,KLANKLAIH,AMLSh,Daily 543751 کلان کلايه - املش
613101,زاهدان - نصرت‌آباد,61 SistanAndBaluchestan,زاهدان,نصرتآباد,ZAHDAN,NSRTABAD,Daily 613101 زاهدان - نصرت‌آباد
613201,ايرانشهر - خاش (ايرانشهر),61 SistanAndBaluchestan,ایرانشهر,خاش,AIRANShHR,KhASh,Daily 613201 ايرانشهر - خاش (ايرانشهر)
613202,سرباز - ايرانشهر (ايرانشهر),61 SistanAndBaluchestan,سرباز,ایرانشهر,SRBAZ,AIRANShHR,Daily 613202 سرباز - ايرانشهر (ايرانشهر)
613236,زاهدان - خاش (خاش),61 SistanAndBaluchestan,زاهدان,خاش,ZAHDAN,KhASh,Daily 613236 زاهدان - خاش (خاش)
613251,خاش - ايرانشهر (ايرانشهر),61 SistanAndBaluchestan,خاش,ایرانشهر,KhASh,AIRANShHR,Daily 613251 خاش - ايرانشهر (ايرانشهر)
613252,ايرانشهر - سرباز (ايرانشهر),61 SistanAndBaluchestan,ایرانشهر,سرباز,AIRANShHR,SRBAZ,Daily 613252 ايرانشهر - سرباز (ايرانشهر)
613256,محمدآباد ريگان - بزمان (بزمان),61 SistanAndBaluchestan,محمدآبادریگان,بزمان,MHMDABADRIGAN,BZMAN,Daily 613256 محمدآباد ريگان - بزمان (بزمان)
613304,زرآباد - ليردف,61 SistanAndBaluchestan,زرآباد,لیردف,ZRABAD,LIRDF,Daily 613304 زرآباد - ليردف
